x1,y1,x2,y2,intensity
-1.23911,-0.0141391,-1.27613,0.0194677,1e-07
-1.27613,0.0194677,-1.31374,0.052417,0
-1.31374,0.052417,-1.3463,0.0903609,1e-07
-1.3463,0.0903609,-1.38341,0.123869,0
-1.38341,0.123869,-1.42311,0.154261,1e-07
-1.42311,0.154261,-1.46724,0.177771,0
-1.46724,0.177771,-1.5144,0.194391,1e-07
-1.5144,0.194391,-1.56164,0.210758,2.02859e-08
-1,-0.5,-0.983261,-0.547115,2.30957e-08
-0.983261,-0.547115,-0.974808,-0.596395,1e-07
-0.974808,-0.596395,-0.970107,-0.646174,0
-0.970107,-0.646174,-0.969711,-0.696172,1e-07
-0.969711,-0.696172,-0.966846,-0.74609,0
-0.966846,-0.74609,-0.953738,-0.794341,1e-07
-0.953738,-0.794341,-0.933479,-0.840053,0
-0.933479,-0.840053,-0.922927,-0.888927,6.38059e-08
-0.922927,-0.888927,-0.907762,-0.936572,0
-0.907762,-0.936572,-0.899732,-0.985923,2.2089e-09
-0.899732,-0.985923,-0.881998,-1.03267,1.10445e-09
-1,-0.5,-0.955294,-0.52239,2.31202e-08
-0.955294,-0.52239,-0.906416,-0.532925,1e-07
-0.906416,-0.532925,-0.85642,-0.533572,0
-0.85642,-0.533572,-0.806882,-0.52679,1e-07
-0.806882,-0.52679,-0.757802,-0.517242,0
-0.757802,-0.517242,-0.709637,-0.503821,1e-07
-0.709637,-0.503821,-0.660312,-0.495633,0
-0.660312,-0.495633,-0.610597,-0.490308,7.51852e-08
-0.610597,-0.490308,-0.561195,-0.482595,0
-0.561195,-0.482595,-0.511305,-0.477627,1.45844e-08
-1,-0.5,-1.0432,-0.474832,2.3015e-08
-1.0432,-0.474832,-1.09101,-0.460172,1e-07
-1.09101,-0.460172,-1.13342,-0.433693,0
-1.13342,-0.433693,-1.17021,-0.399834,1e-07
-1.17021,-0.399834,-1.20308,-0.362154,0
-1.20308,-0.362154,-1.23603,-0.324552,1e-07
-1.23603,-0.324552,-1.27237,-0.290212,0
-1.27237,-0.290212,-1.31382,-0.262246,7.61527e-08
-1.31382,-0.262246,-1.35276,-0.23088,0
-1.35276,-0.23088,-1.38298,-0.191044,9.49652e-09
-1.38298,-0.191044,-1.40867,-0.148148,4.74826e-09
-1,-0.5,-0.950367,-0.493951,2.35941e-08
-0.950367,-0.493951,-0.900485,-0.497383,1e-07
-0.900485,-0.497383,-0.851388,-0.487921,0
-0.851388,-0.487921,-0.801449,-0.490376,1e-07
-0.801449,-0.490376,-0.753494,-0.50453,0
-0.753494,-0.50453,-0.704108,-0.512341,1e-07
-0.704108,-0.512341,-0.65507,-0.522102,0
-0.65507,-0.522102,-0.605748,-0.530307,1e-07
-0.605748,-0.530307,-0.560033,-0.550561,0
-0.560033,-0.550561,-0.514314,-0.570803,1e-07
-0.514314,-0.570803,-0.467616,-0.588671,0
-0.467616,-0.588671,-0.418803,-0.595715,7.56386e-08
-1,0,-1.04839,0.0126048,2.30448e-08
-1.04839,0.0126048,-1.09441,0.0321335,1e-07
-1.09441,0.0321335,-1.13858,0.0555741,0
-1.13858,0.0555741,-1.17897,0.0850504,1e-07
-1.17897,0.0850504,-1.2223,0.110002,0
-1.2223,0.110002,-1.27058,0.123002,1e-07
-1.27058,0.123002,-1.31923,0.134511,0
-1.31923,0.134511,-1.36457,0.155602,7.55827e-08
-1.36457,0.155602,-1.41195,0.17156,0
-1.41195,0.17156,-1.45502,0.196968,9.87742e-09
-1.45502,0.196968,-1.50002,0.218756,4.93871e-09
-1,0,-1.04988,0.00349616,6.01937e-09
-1.04988,0.00349616,-1.09775,0.0179161,2.6947e-08
-1.09775,0.0179161,-1.14549,0.0327892,6.01917e-09
-1,0,-1.03908,-0.031184,3.67573e-09
-1.03908,-0.031184,-1.07231,-0.0685447,1.65444e-08
-1.07231,-0.0685447,-1.10748,-0.103109,3.58239e-09
-1,0,-1.03729,0.0333133,2.30576e-08
-1.03729,0.0333133,-1.06682,0.073657,1e-07
-1.06682,0.073657,-1.09888,0.112029,0
-1.09888,0.112029,-1.13595,0.145577,1e-07
-1.13595,0.145577,-1.17904,0.170947,0
-1.17904,0.170947,-1.21911,0.200845,1e-07
-1.21911,0.200845,-1.26327,0.224307,0
-1.26327,0.224307,-1.30678,0.248937,6.60394e-08
-1.30678,0.248937,-1.35366,0.266317,0
-1.35366,0.266317,-1.40223,0.278189,3.27879e-09
-1.40223,0.278189,-1.45108,0.288841,1.6394e-09
-1,0,-1.04319,0.0251868,2.35941e-08
-1.04319,0.0251868,-1.07952,0.059539,1e-07
-1.07952,0.059539,-1.12136,0.0869183,0
-1.12136,0.0869183,-1.16351,0.113814,1e-07
-1.16351,0.113814,-1.20587,0.140381,0
-1.20587,0.140381,-1.25135,0.161162,1e-07
-1.25135,0.161162,-1.29098,0.191643,0
-1.29098,0.191643,-1.33502,0.215323,1e-07
-1.33502,0.215323,-1.38329,0.228362,0
-1.38329,0.228362,-1.43026,0.245472,7.64004e-08
-1,0,-0.958057,0.0272172,2.30608e-08
-0.958057,0.0272172,-0.922469,0.0623388,1e-07
-0.922469,0.0623388,-0.886091,0.0966403,0
-0.886091,0.0966403,-0.842461,0.121063,1e-07
-0.842461,0.121063,-0.794986,0.136752,0
-0.794986,0.136752,-0.746949,0.150624,1e-07
-0.746949,0.150624,-0.700539,0.169228,0
-0.700539,0.169228,-0.658382,0.196112,6.96625e-08
-0.658382,0.196112,-0.623557,0.23199,0
-0.623557,0.23199,-0.59792,0.274917,7.58334e-09
-0.59792,0.274917,-0.571168,0.317158,3.79167e-09
-1,0,-0.978564,-0.045172,2.35941e-08
-0.978564,-0.045172,-0.950845,-0.086785,1e-07
-0.950845,-0.086785,-0.924563,-0.12932,0
-0.924563,-0.12932,-0.909811,-0.177094,1e-07
-0.909811,-0.177094,-0.892194,-0.223888,0
-0.892194,-0.223888,-0.879741,-0.272313,1e-07
-0.879741,-0.272313,-0.878574,-0.322299,0
-0.878574,-0.322299,-0.886475,-0.371671,1e-07
-0.886475,-0.371671,-0.895537,-0.420843,0
-0.895537,-0.420843,-0.897852,-0.470789,1e-07
-0.897852,-0.470789,-0.897566,-0.520788,0
-0.897566,-0.520788,-0.906243,-0.57003,1e-07
-0.906243,-0.57003,-0.922639,-0.617265,0
-0.922639,-0.617265,-0.950036,-0.659091,1e-07
-0.950036,-0.659091,-0.976761,-0.701349,0
-0.976761,-0.701349,-0.999701,-0.745776,1e-07
-0.999701,-0.745776,-1.02818,-0.786872,0
-1.02818,-0.786872,-1.04997,-0.831875,1e-07
-1.04997,-0.831875,-1.07344,-0.876022,0
-1.07344,-0.876022,-1.09535,-0.920966,1e-07
-1.09535,-0.920966,-1.12624,-0.960287,0
-1.12624,-0.960287,-1.1546,-1.00146,1e-07
-1.1546,-1.00146,-1.1818,-1.04342,0
-1.1818,-1.04342,-1.21065,-1.08426,9.58163e-08
-1.21065,-1.08426,-1.24,-1.12474,0
-1.24,-1.12474,-1.2739,-1.16149,2.70313e-08
-1.2739,-1.16149,-1.31509,-1.18984,1.4969e-10
-1,0,-1.04688,0.0173984,2.35941e-08
-1.04688,0.0173984,-1.09027,0.042234,1e-07
-1.09027,0.042234,-1.13331,0.0676755,0
-1.13331,0.0676755,-1.17733,0.0914031,1e-07
-1.17733,0.0914031,-1.21977,0.117826,0
-1.21977,0.117826,-1.26511,0.138918,1e-07
-1.26511,0.138918,-1.31422,0.14832,0
-1.31422,0.14832,-1.36042,0.167438,1e-07
-1.36042,0.167438,-1.40202,0.195165,0
-1.40202,0.195165,-1.44561,0.219667,1e-07
-1.44561,0.219667,-1.48658,0.248322,0
-1.48658,0.248322,-1.5313,0.270684,1e-07
-1.5313,0.270684,-1.57068,0.301495,0
-1.57068,0.301495,-1.61114,0.330875,1e-07
-1.61114,0.330875,-1.65099,0.36107,0
-1.65099,0.36107,-1.69076,0.391382,1e-07
-1.69076,0.391382,-1.73701,0.410374,0
-1.73701,0.410374,-1.78496,0.424559,1e-07
-1.78496,0.424559,-1.83477,0.428917,0
-1.83477,0.428917,-1.88464,0.425402,7.42453e-08
-1.88464,0.425402,-1.93413,0.418267,0
-1.93413,0.418267,-1.98379,0.41243,9.43436e-09
-1.98379,0.41243,-2.03323,0.405009,4.71718e-09
-1,0,-1.04136,-0.0280886,3.25601e-09
-1.04136,-0.0280886,-1.07472,-0.0653384,1.45761e-08
-1.07472,-0.0653384,-1.10748,-0.103109,3.25601e-09
-1,0,-1.04429,-0.0232031,1.91813e-08
-1.04429,-0.0232031,-1.08512,-0.0520588,1e-07
-1.08512,-0.0520588,-1.11754,-0.0901293,0
-1.11754,-0.0901293,-1.14554,-0.13211,7.11556e-08
-1,0.5,-1.04942,0.507598,2.35941e-08
-1.04942,0.507598,-1.0994,0.508993,1e-07
-1.0994,0.508993,-1.14845,0.518715,0
-1.14845,0.518715,-1.19633,0.533118,1e-07
-1.19633,0.533118,-1.24303,0.550984,0
-1.24303,0.550984,-1.29181,0.561945,1e-07
-1.29181,0.561945,-1.33796,0.581174,0
-1.33796,0.581174,-1.38114,0.606395,1e-07
-1.38114,0.606395,-1.42579,0.628893,0
-1.42579,0.628893,-1.47264,0.646346,1e-07
-1.47264,0.646346,-1.52132,0.657767,0
-1.52132,0.657767,-1.56649,0.679213,1e-07
-1.56649,0.679213,-1.61128,0.701437,0
-1.61128,0.701437,-1.65953,0.714541,1e-07
-1.65953,0.714541,-1.70763,0.728189,0
-1.70763,0.728189,-1.75132,0.752504,1e-07
-1.75132,0.752504,-1.79652,0.773887,0
-1.79652,0.773887,-1.83719,0.802966,1e-07
-1.83719,0.802966,-1.87503,0.835651,0
-1.87503,0.835651,-1.91784,0.861479,1e-07
-1.91784,0.861479,-1.96574,0.875832,0
-1.96574,0.875832,-2.0123,0.894048,1e-07
-2.0123,0.894048,-2.05612,0.918134,0
-2.05612,0.918134,-2.10127,0.939606,9.25711e-08
-2.10127,0.939606,-2.14424,0.965177,0
-2.14424,0.965177,-2.19012,0.985051,1.8467e-08
-2.19012,0.985051,-2.23619,1.00448,9.23348e-09
