step,solver,pc,trial,runtime_ms
7,gmres,sor,2,345.596
7,gmres,sor,3,340.099
7,gmres,sor,4,341.568
7,gmres,sor,5,344.451
7,gmres,ilu,1,393.325
7,gmres,ilu,2,393.271
7,gmres,ilu,3,400.218
7,gmres,ilu,4,384.84
7,gmres,ilu,5,395.294
7,gmres,icc,1,307.653
7,gmres,icc,2,299.358
7,gmres,icc,3,307.064
7,gmres,icc,4,300.986
7,gmres,icc,5,297.981
7,gmres,gamg,1,800.737
7,gmres,gamg,2,808.332
7,gmres,gamg,3,801.807
7,gmres,gamg,4,810.682
7,gmres,gamg,5,803.838
8,cg,jacobi,1,344.564
8,cg,jacobi,2,340.441
8,cg,jacobi,3,338.186
8,cg,jacobi,4,353.218
8,cg,jacobi,5,356.905
8,cg,sor,1,174.158
8,cg,sor,2,175.421
8,cg,sor,3,176.044
8,cg,sor,4,176.742
8,cg,sor,5,175.903
8,cg,ilu,1,213.523
8,cg,ilu,2,251.3
8,cg,ilu,3,227.156
8,cg,ilu,4,230.299
8,cg,ilu,5,215.576
8,cg,icc,1,165.95
8,cg,icc,2,166.01
8,cg,icc,3,167.033
8,cg,icc,4,165.804
8,cg,icc,5,168.907
8,cg,gamg,1,682.057
8,cg,gamg,2,682.774
8,cg,gamg,3,676.624
8,cg,gamg,4,681.822
8,cg,gamg,5,678.696
8,bcgs,jacobi,1,337.369
8,bcgs,jacobi,2,339.445
8,bcgs,jacobi,3,336.671
8,bcgs,jacobi,4,336.733
8,bcgs,jacobi,5,337.683
8,bcgs,sor,1,216.26
8,bcgs,sor,2,219.546
8,bcgs,sor,3,213.528
8,bcgs,sor,4,217.936
8,bcgs,sor,5,218.97
8,bcgs,ilu,1,220.628
8,bcgs,ilu,2,206.865
8,bcgs,ilu,3,182.356
8,bcgs,ilu,4,208.701
8,bcgs,ilu,5,228.78
8,bcgs,icc,1,172.894
8,bcgs,icc,2,173.648
8,bcgs,icc,3,174.267
8,bcgs,icc,4,171.081
8,bcgs,icc,5,172.705
8,bcgs,gamg,1,822.441
8,bcgs,gamg,2,821.733
8,bcgs,gamg,3,815.657
8,bcgs,gamg,4,817.376
8,bcgs,gamg,5,817.228
8,gmres,jacobi,1,699.095
8,gmres,jacobi,2,689.749
8,gmres,jacobi,3,693.244
8,gmres,jacobi,4,693.17
8,gmres,jacobi,5,685.769
8,gmres,sor,1,341.483
8,gmres,sor,2,341.036
8,gmres,sor,3,343.963
8,gmres,sor,4,345.866
8,gmres,sor,5,341.217
8,gmres,ilu,1,393.847
8,gmres,ilu,2,387.672
8,gmres,ilu,3,404.916
8,gmres,ilu,4,395.994
8,gmres,ilu,5,388.091
8,gmres,icc,1,304.939
8,gmres,icc,2,306.738
8,gmres,icc,3,303.383
8,gmres,icc,4,294.015
8,gmres,icc,5,300.404
8,gmres,gamg,1,801.361
8,gmres,gamg,2,803.628
8,gmres,gamg,3,807.909
8,gmres,gamg,4,805.05
8,gmres,gamg,5,806.001
9,cg,jacobi,1,332.965
9,cg,jacobi,2,337.043
9,cg,jacobi,3,338.58
9,cg,jacobi,4,349.381
9,cg,jacobi,5,345.228
9,cg,sor,1,169.229
9,cg,sor,2,170.605
9,cg,sor,3,173.511
9,cg,sor,4,173.55
9,cg,sor,5,174.296
9,cg,ilu,1,220.061
9,cg,ilu,2,197.702
9,cg,ilu,3,227.275
9,cg,ilu,4,222.108
9,cg,ilu,5,217.298
9,cg,icc,1,163.384
9,cg,icc,2,162.765
9,cg,icc,3,165.811
9,cg,icc,4,167.468
9,cg,icc,5,168.557
9,cg,gamg,1,677.197
9,cg,gamg,2,689.689
9,cg,gamg,3,683.25
9,cg,gamg,4,680.863
9,cg,gamg,5,675.876
9,bcgs,jacobi,1,301.271
9,bcgs,jacobi,2,303.36
9,bcgs,jacobi,3,304.579
9,bcgs,jacobi,4,301.754
9,bcgs,jacobi,5,300.961
9,bcgs,sor,1,219.286
9,bcgs,sor,2,221.448
9,bcgs,sor,3,215.564
9,bcgs,sor,4,225.662
9,bcgs,sor,5,221.684
9,bcgs,ilu,1,236.948
9,bcgs,ilu,2,204.909
9,bcgs,ilu,3,224.923
9,bcgs,ilu,4,223.288
9,bcgs,ilu,5,235.752
9,bcgs,icc,1,170.324
9,bcgs,icc,2,170.947
9,bcgs,icc,3,166.665
9,bcgs,icc,4,164.942
9,bcgs,icc,5,169.939
9,bcgs,gamg,1,718.994
9,bcgs,gamg,2,724.81
9,bcgs,gamg,3,714.091
9,bcgs,gamg,4,726.225
9,bcgs,gamg,5,717.83
9,gmres,jacobi,1,688.254
9,gmres,jacobi,2,691.609
9,gmres,jacobi,3,685.743
9,gmres,jacobi,4,691.285
9,gmres,jacobi,5,686.267
9,gmres,sor,1,340.349
9,gmres,sor,2,339.113
9,gmres,sor,3,338.96
9,gmres,sor,4,336.303
9,gmres,sor,5,344.254
9,gmres,ilu,1,391.132
9,gmres,ilu,2,395.906
9,gmres,ilu,3,402.568
9,gmres,ilu,4,389.931
9,gmres,ilu,5,391.458
9,gmres,icc,1,304.63
9,gmres,icc,2,308.146
9,gmres,icc,3,307.297
9,gmres,icc,4,304.743
9,gmres,icc,5,299.004
9,gmres,gamg,1,816.731
9,gmres,gamg,2,793.195
9,gmres,gamg,3,803.962
9,gmres,gamg,4,802.777
9,gmres,gamg,5,813.85
10,cg,jacobi,1,345.864
10,cg,jacobi,2,345.399
10,cg,jacobi,3,357.573
10,cg,jacobi,4,356.911
10,cg,jacobi,5,368.501
10,cg,sor,1,180.794
10,cg,sor,2,176.35
10,cg,sor,3,172.604
10,cg,sor,4,168.015
10,cg,sor,5,174.331
10,cg,ilu,1,212.253
10,cg,ilu,2,234.143
10,cg,ilu,3,225.755
10,cg,ilu,4,228.161
10,cg,ilu,5,216.603
10,cg,icc,1,166.474
10,cg,icc,2,166.341
10,cg,icc,3,166.11
10,cg,icc,4,166.07
10,cg,icc,5,165.631
