step,solver,pc,trial,runtime_ms
10,gmres,jacobi,4,638.699
10,gmres,jacobi,5,638.773
10,gmres,sor,1,309.117
10,gmres,sor,2,308.751
10,gmres,sor,3,308.801
10,gmres,sor,4,308.992
10,gmres,sor,5,308.598
10,gmres,ilu,1,307.427
10,gmres,ilu,2,305.947
10,gmres,ilu,3,306.06
10,gmres,ilu,4,305.714
10,gmres,ilu,5,304.804
10,gmres,icc,1,279.455
10,gmres,icc,2,279.264
10,gmres,icc,3,279.406
10,gmres,icc,4,279.529
10,gmres,icc,5,279.207
10,gmres,gamg,1,722.119
10,gmres,gamg,2,722.791
10,gmres,gamg,3,722.958
10,gmres,gamg,4,723.306
10,gmres,gamg,5,723.726
step,solver,pc,trial,runtime_ms
11,cg,jacobi,1,221.127
11,cg,jacobi,2,220.881
11,cg,jacobi,3,220.999
11,cg,jacobi,4,221.06
11,cg,jacobi,5,221
11,cg,sor,1,126.305
11,cg,sor,2,125.812
11,cg,sor,3,125.882
11,cg,sor,4,125.813
11,cg,sor,5,125.887
11,cg,ilu,1,142.877
11,cg,ilu,2,124.981
11,cg,ilu,3,121.606
11,cg,ilu,4,120.111
11,cg,ilu,5,120.019
11,cg,icc,1,119.419
11,cg,icc,2,119.597
11,cg,icc,3,119.785
11,cg,icc,4,119.653
11,cg,icc,5,119.809
11,cg,gamg,1,588.814
11,cg,gamg,2,594.722
11,cg,gamg,3,600.031
11,cg,gamg,4,602.765
11,cg,gamg,5,605.618
11,bcgs,jacobi,1,252.997
11,bcgs,jacobi,2,252.326
11,bcgs,jacobi,3,252.563
11,bcgs,jacobi,4,252.292
11,bcgs,jacobi,5,252.093
11,bcgs,sor,1,213.437
11,bcgs,sor,2,213.23
11,bcgs,sor,3,213.161
11,bcgs,sor,4,213.242
11,bcgs,sor,5,213.244
11,bcgs,ilu,1,178.694
11,bcgs,ilu,2,165.669
11,bcgs,ilu,3,162.567
11,bcgs,ilu,4,164.334
